id,description,text,account_value,actor_value,frame_value,llama_classification
id_760540204050419712,"Director of Research at @PublicAgenda. Opinions are my own, obviously. Allegedly, I'm funny on Instagram. He/him.",.@PublicAgenda found women were well-represented in #participatorybudgeting processes  https://t.co/vjWMCUhbqU,Individual,Citizen,Justice,democracy
id_587692331777843200,OSH was the site of the largest battle of the Revolutionary War and the home of the Brooklyn Dodgers. Join us for educational and cultural events year-round!,Pop up participatory budgeting voting today @OSHBklyn @bradlander!  2:30-4:30 pm Monday April 13.  Bring your voice to the process!,Organisation,Edu,Dem,democracy
id_1302915724197998592,"International Observatory on Participatory Democracy:
@uclg_org's consultation mechanism on Participatory Local Democracy
#CitiesAreListening #DemoPart","🏙️🌏 LRGs are at the forefront of #ClimateAction and #ParticipatoryDemocracy

✨ ""Contributions of Participatory Budgeting to Climate Change Adaptation and Mitigation"", by Yves Cabannes (@dpu_ucl)

The study is now OUT:

🔗 https://t.co/kqiYKBHh7F

#local4action https://t.co/y7qxMrNhIO",Organisation,Civil,Dem,democracy
id_620635276860370944,mecanikal engnering,Participatory budgeting in Local Authorities and Central Government a must! - Residents in Harare urge the City...,Individual,Citizen,Dem,democracy
id_1362857537553510403,"Researcher, entrepreneur, candidate in municipal elections in Lappeenranta.","City of #Lappeenranta conducts a pilot of participatory budgeting. Submit your ideas on how to spend the allocated 20k EUR and vote for the best idea.

https://t.co/ABQH6NikUA",Individual,Citizen,Dem,democracy
id_597869520640974848,Unofficial news feed on terrorism (not  from the Ministry of Foreign Affairs)  managed by intelligence professionals. The news are not from newspapers.,Greenfield Announces $1 Million in Winning Participatory Budgeting Projects http://t.co/VSFtZIzqak Councilman... http://t.co/EwsE1XJ3rU,Organisation,Media,Resources,NA
id_580084992769978368,"Director, Public Policy Initiative, @SMYFoundation.
Tweets are exclusively my personal opinions.",Tonye wants to domesticate the #FOI. Also proposes participatory budgeting. Cites Brazil example. #TheRiversDebate2015,Individual,Media,Dem,democracy
id_763492666327851008,The Fund for Democratic Communities supports community-based initiatives fostering authentic democracy to make communities better places to live.,We Can Decide: Black Power through #ParticipatoryBudgeting - https://t.co/rMuXMCHg0b #BlackLivesMatter #Durham https://t.co/sgPnPrkWwB,Organisation,Civil,Justice,democracy
id_1283536424302780417,Brooklyn's oldest independent newspaper! Serving the community since 1921.,"""Today, BK Borough President joined the Participatory Budgeting Project, BK Community Arts &amp; Media High School, and Tilden Educational Campus in Bedford-Stuyv and East Flatbush, to unveil the results of a participatory budgeting election in 2 BK schools""
https://t.co/hnHYurA7S7",Organisation,Media,Dem,democracy
id_982723063035949061,"Community Activist, Entrepreneur, Cause Advocate, Nonprofit Founder, Educator, Writer, Fmr NY District Leader  #InThisTogether #CommunityFirst #BeKind","Throughout this week, NYC residents will have the chance to decide where nearly $2 million will go towards in their community. Participatory budgeting is a significant to helping to create change within our communities. Please vote between now and April 15
https://t.co/2D45TzbEQD",Individual,Civil,Dem,democracy
id_598807156423577600,"CBC Ontario Morning with @jhazlewoodCBC brings Ontarians stories from down the road, and around the world. Tweet and talk with us! ontariomorning@cbc.ca","5 wards, 20k each, how should it be spent? YOU decide. Participatory budget idea @cityptbo #Ptbo. #ptbopoli Would you like it? How spend $?",Organisation,Media,Resources,NA
id_1121196468046401536,🗳Bringing Participatory Budgeting (PB) to Oregon ✊ Ensuring all the state’s diverse peoples know their power 👇What even is PB?,"""When a community, a school, an institution adopts participatory budgeting, it really marks a change in the way that they govern, and a change in a way that they have a relationship with their constituency or broader community."" @Shari_Davis1 https://t.co/DxV91hje0Y",Organisation,Political,Dem,democracy
id_982630551298461696,"Photojournalist, writer, world music lover","hi folks you can contribute to decisions re: participatory budgeting -- money that your city council member can allocate--through this link... if you put in your zip code, it will reflect your district.  https://t.co/pRs61gHiMk https://t.co/pRs61gHiMk",Individual,Media,Dem,NA
id_879350174769926146,Mom. Founder of Date My City. Asheville City Council member.,"This week I'm rolling out pieces of my platform, starting with Participatory Budgeting. Read here: https://t.co/qS1W8UV4Sd #avlgov #avlelect https://t.co/24at8EyTce",Individual,Political,Dem,democracy
id_568540555124342784,A passion for building healthier communities and better government. A heart for public service.,The City of Vallejo is collecting project ideas for its cycle #3 of participatory budgeting. Get involved and... http://t.co/3H33SCjniL,Individual,Citizen,Dem,democracy
id_1334429771795722246,"Information, news and resources for participatory budgeting in Scotland.",This PB Scotland resource explores the evidence and ideas for carrying out participatory budgeting (PB) in schools. https://t.co/xka7xNI62p,Organisation,Media,Dem,NA
id_842752989429415937,"Empowering members of our communities, young and old, to live happy, healthy, connected and fulfilling lives.",To see which projects bid for a share of £10k on Saturday at Fenwick go to https://t.co/BytR8W1CXK #EAYouDecide @EastAyrshire @PB_Scotland https://t.co/FHqkjOwV2n,Organisation,Civil,Resources,NA
id_1197522329850597377,Chief Executive at Tai Tarian. Passionate about ending high cost credit and reversing climate change....,#annualconf19 ⁦@YLabWales⁩ Participatory Budgeting...once you have a pot of money the following can be used to deliver real projects the community want. https://t.co/VnFqtu4FxC,Individual,Citizen,Resources,NA
id_1427929538995048455,"Information, news and resources for participatory budgeting in Scotland.",".@DemsocScotland have spoken to Donna Anderson, Participation and Democracy Officer and Youth Work Lead for @North_Ayrshire about the youth-led #ParticipatoryBudgeting taking place. https://t.co/y9GuVxoRfD",Organisation,Citizen,Dem,democracy
id_1313834061950078976,Working to improve short breaks for unpaid carers across Scotland. Find out more at https://t.co/gDZv42S9vU,"Making sure #carers views are heard is crucial in public services. Investing in carer engagement at a local &amp; national level is one of our key asks. This includes full expenses for carer reps on groups, and full involvement in participatory budgeting. #carersPovertyweek https://t.co/QfWqHwcoDs",Organisation,Civil,Dem,NA
id_1224903396143972352,Vancouver's first participatory budgeting project in the West End. Tweets by the community-led WE Choo$e Impact Team.,"Today is the last day to vote in the #WEChoosePB Community Vote! If you haven't already, you can cast your ballot online until 11:59pm at https://t.co/TowXunfc9D

And join us on February 8 from 2:00 to 4:00pm as we announce the winners at @GordonNHouse!

https://t.co/Tqn0JUxEk7 https://t.co/mQEEMIR655",Organisation,Civil,Dem,democracy
id_674450594690535424,#opendata #opengov #openparl and #anticorruption at @sinarproject,"Interesting note on participatory budgeting. ""I elected representatives to decide it for me, why do I need to help create one?""",Individual,Citizen,Problems,democracy
id_1174823019417690112,Love my local NY politics. Comms @thenyic alum @CM_MargaretChin & @AMBichotte. You know the drill RT not endorsements thoughts are embarrassingly my own.,"Getting ready to update @CB2_Manhattan about @CM_MargaretChin’s historic bills fighting age discrimination, her work over the summer and, of course, the launch of Participatory Budgeting in District 1! #PBNYC https://t.co/rY6RjxNQj0",Individual,Citizen,Justice,democracy
id_1138822086917591040,There is a very loud amusement park right in front of my present lodgings.,Apparently Jim Gardiner has canceled most of the participatory budgeting projects residents voted for in the 45th ward. Gotta fill them potholes I guess.,Individual,Citizen,Dem,problems
id_607212373829500928,"Curating the best media feeds in Cambridge. Part of the 400-city The Breaking News Network, the largest community news network supporting the social good","City Invites Community to Decide How to Spend $500,000 as part of a Participatory Budget Pilot Program: The City of… http://t.co/wSDQp8AxyU",Organisation,Media,Dem,NA
