user_id,marital,age,race,rincome,partyid,relig,tvhours,timestamp
id_1,Widowed,67,White,Less than 10000,Independent,Protestant,2,2000-05-02T23:33:59Z
id_2,Divorced,25,White,Less than 10000,Not str democrat,None,1,2000-11-02T05:57:28Z
id_3,Never married,36,White,$25000 or more,Not str republican,Other,3,2000-06-16T09:56:19Z
id_4,Married,44,White,$25000 or more,Not str democrat,Protestant,0,2000-12-06T21:54:37Z
id_5,Married,47,White,$25000 or more,Strong republican,Protestant,3,2000-12-27T22:33:00Z
id_6,Married,53,White,$25000 or more,Not str democrat,Protestant,2,2000-02-04T09:39:13Z
id_7,Married,52,White,$25000 or more,Strong democrat,Protestant,1,2000-07-30T00:21:50Z
id_8,Married,40,Black,$25000 or more,Strong democrat,Protestant,7,2000-12-10T08:29:39Z
id_9,Never married,44,White,$25000 or more,Independent,None,3,2000-08-07T13:17:26Z
id_10,Married,40,White,$10000 - 14999,Not str democrat,Catholic,3,2000-07-03T20:23:21Z
id_11,Married,49,White,Less than 10000,Strong republican,Protestant,2,2001-01-02T22:18:34Z
id_12,Never married,19,White,Less than 10000,Independent,None,2,2000-07-02T15:34:22Z
id_13,Widowed,82,White,Less than 10000,Not str democrat,Protestant,3,2000-09-22T17:15:57Z
id_14,Widowed,89,White,Less than 10000,Not str democrat,Protestant,4,2000-08-15T07:29:50Z
id_15,Divorced,72,White,Less than 10000,Strong democrat,Protestant,7,2000-02-25T09:34:33Z
id_16,Married,55,Black,Less than 10000,Not str democrat,Protestant,1,2000-12-13T01:32:53Z
id_17,Never married,43,White,$20000 - 24999,Independent,Catholic,4,2000-04-17T19:07:12Z
id_18,Never married,57,White,Less than 10000,Strong republican,Protestant,1,2000-02-03T02:56:11Z
id_19,Married,65,White,$25000 or more,Strong republican,Protestant,1,2000-05-17T17:56:28Z
id_20,Married,56,White,$25000 or more,Not str republican,Protestant,5,2001-01-02T01:50:44Z
id_21,Married,66,White,$25000 or more,Strong republican,Protestant,3,2000-12-09T07:11:56Z
id_22,Never married,20,White,$15000 - 19999,Strong republican,Protestant,2,2000-09-28T07:04:14Z
id_23,Married,46,White,Less than 10000,Not str republican,Protestant,3,2000-09-09T03:41:50Z
id_24,Married,26,Other,$10000 - 14999,Not str democrat,None,2,2001-01-16T15:09:04Z
id_25,Divorced,51,White,$20000 - 24999,Independent,Protestant,2,2000-09-14T17:12:19Z
id_26,Never married,23,White,Less than 10000,Strong democrat,Protestant,0,2000-10-04T01:13:01Z
id_27,Married,26,White,$10000 - 14999,Not str republican,Protestant,2,2000-08-04T20:33:41Z
id_28,Never married,27,Black,$25000 or more,Strong democrat,Protestant,4,2000-08-23T04:25:44Z
id_29,Widowed,43,Black,Less than 10000,Independent,None,3,2000-05-03T13:27:52Z
id_30,Married,33,White,Less than 10000,Strong democrat,Protestant,2,2000-03-12T13:43:54Z
id_31,Never married,89,White,Less than 10000,Independent,Protestant,2,2001-01-05T04:41:25Z
id_32,Widowed,83,Black,Less than 10000,Strong democrat,Protestant,12,2000-12-13T23:16:49Z
id_33,Widowed,78,Black,Less than 10000,Strong democrat,Other,4,2000-09-27T12:38:26Z
id_34,Widowed,89,Black,Less than 10000,Independent,Protestant,8,2000-11-04T20:52:16Z
id_35,Widowed,69,Black,Less than 10000,Not str democrat,Protestant,4,2000-01-27T17:41:31Z
id_36,Never married,41,Black,Less than 10000,Strong democrat,Protestant,5,2000-07-11T14:26:43Z
id_37,Married,32,Black,$25000 or more,Strong democrat,Catholic,2,2000-10-22T07:47:38Z
id_38,Never married,29,Black,$25000 or more,Not str republican,Protestant,4,2000-04-06T22:24:46Z
id_39,Married,40,Black,$25000 or more,Strong democrat,Protestant,1,2000-05-14T04:23:15Z
id_40,Widowed,70,Black,Less than 10000,Strong democrat,Catholic,2,2000-04-12T12:05:11Z
id_41,Divorced,75,White,Less than 10000,Strong democrat,Protestant,7,2000-03-10T23:50:27Z
id_42,Never married,22,Black,$20000 - 24999,Independent,Protestant,3,2000-06-18T10:51:38Z
id_43,Separated,53,Black,$25000 or more,Strong democrat,Protestant,1,2000-06-18T03:38:24Z
id_44,Widowed,80,White,Less than 10000,Not str democrat,Catholic,8,2000-06-01T17:25:26Z
id_45,Married,45,White,$25000 or more,Independent,Catholic,1,2000-03-14T12:33:36Z
id_46,Divorced,46,White,$25000 or more,Not str democrat,Other,2,2000-03-09T12:45:28Z
id_47,Never married,32,White,$25000 or more,Not str republican,Catholic,0,2000-04-13T00:27:25Z
id_48,Married,53,White,Less than 10000,Independent,Catholic,4,2000-07-07T06:29:58Z
id_49,Divorced,39,White,Less than 10000,Independent,None,0,2000-04-25T01:47:21Z
id_50,Married,47,White,Less than 10000,Not str democrat,Protestant,2,2000-11-27T16:38:39Z
id_51,Married,48,White,Less than 10000,Independent,None,2,2000-02-04T12:03:59Z
id_52,Divorced,56,White,Less than 10000,Not str democrat,Other,3,2000-06-28T13:46:15Z
id_53,Divorced,47,White,$25000 or more,Strong democrat,Other,1,2000-11-06T03:14:29Z
id_54,Married,72,White,$25000 or more,Strong democrat,Other,4,2000-03-03T08:14:55Z
id_55,Married,52,Black,Less than 10000,Strong democrat,None,2,2000-08-11T00:51:09Z
id_56,Separated,39,Other,Less than 10000,Not str democrat,Other,1,2000-04-03T07:39:26Z
id_57,Married,30,Other,$25000 or more,Not str democrat,None,1,2000-03-05T09:43:24Z
id_58,Never married,48,Black,$25000 or more,Independent,None,2,2000-10-20T10:32:30Z
id_59,Separated,60,White,Less than 10000,Independent,Catholic,3,2000-12-11T07:33:50Z
id_60,Separated,43,White,Less than 10000,Not str democrat,Catholic,1,2000-06-03T18:45:59Z
id_61,Never married,25,White,Less than 10000,Independent,Catholic,4,2000-09-18T03:51:26Z
id_62,Divorced,37,White,$20000 - 24999,Independent,Catholic,3,2000-02-22T10:33:57Z
id_63,Divorced,56,White,Less than 10000,Independent,Protestant,2,2000-06-07T06:16:29Z
id_64,Married,28,White,Less than 10000,Independent,Catholic,8,2000-04-28T03:40:17Z
id_65,Never married,36,Black,Less than 10000,Strong democrat,Protestant,12,2000-11-11T21:17:01Z
id_66,Widowed,82,Black,Less than 10000,Strong democrat,Protestant,4,2000-06-30T21:15:11Z
id_67,Divorced,73,White,Less than 10000,Not str democrat,Catholic,3,2000-11-10T05:05:26Z
id_68,Never married,76,White,Less than 10000,Not str republican,Protestant,12,2000-11-11T01:30:54Z
id_69,Widowed,70,Black,Less than 10000,Not str democrat,Protestant,5,2000-11-04T10:59:18Z
id_70,Widowed,87,Black,Less than 10000,Strong democrat,Protestant,10,2000-06-27T16:58:01Z
id_71,Widowed,78,White,Less than 10000,Not str republican,Protestant,0,2000-10-20T20:47:43Z
id_72,Never married,44,Black,Less than 10000,Not str democrat,Protestant,3,2000-09-05T00:33:50Z
id_73,Never married,40,Other,$25000 or more,Independent,None,1,2000-10-04T15:43:39Z
id_74,Never married,36,Other,Less than 10000,Strong democrat,Catholic,5,2000-01-18T22:58:24Z
id_75,Married,52,White,Less than 10000,Not str republican,Catholic,1,2000-07-10T16:39:58Z
id_76,Separated,48,Black,$25000 or more,Not str democrat,Protestant,3,2000-04-08T07:00:35Z
id_77,Never married,33,White,$20000 - 24999,Independent,None,4,2000-06-05T17:47:38Z
id_78,Married,58,White,$25000 or more,Not str republican,Protestant,2,2000-08-30T00:03:57Z
id_79,Married,63,Black,Less than 10000,Strong democrat,Protestant,6,2000-05-26T11:40:42Z
id_80,Divorced,48,White,$25000 or more,Independent,Protestant,4,2000-02-28T09:41:56Z
id_81,Married,42,White,$25000 or more,Not str republican,Protestant,2,2000-04-16T21:26:20Z
id_82,Married,36,White,Less than 10000,Not str democrat,Catholic,1,2000-09-19T05:41:09Z
id_83,Never married,30,White,$25000 or more,Independent,None,2,2000-06-19T14:05:41Z
id_84,Never married,32,White,$20000 - 24999,Not str republican,Protestant,2,2000-11-02T04:59:51Z
id_85,Married,36,White,$25000 or more,Strong republican,Protestant,5,2000-02-25T09:02:54Z
id_86,Married,72,White,Less than 10000,Strong republican,Protestant,2,2000-06-25T21:35:00Z
id_87,Married,31,White,Less than 10000,Strong republican,Catholic,2,2001-01-13T05:20:51Z
id_88,Married,45,Other,Less than 10000,Independent,None,0,2000-12-10T14:02:47Z
id_89,Widowed,48,Black,$25000 or more,Not str republican,Catholic,1,2000-12-08T04:13:47Z
id_90,Married,50,White,$25000 or more,Not str democrat,Other,2,2000-03-22T19:08:52Z
id_91,Married,51,White,$25000 or more,Strong democrat,Other,2,2000-03-06T13:30:59Z
id_92,Never married,38,White,$25000 or more,Not str democrat,Protestant,1,2000-09-13T18:19:58Z
id_93,Never married,33,White,Less than 10000,Not str democrat,None,1,2000-05-23T10:56:03Z
id_94,Never married,67,White,$25000 or more,Strong democrat,Protestant,1,2000-09-15T02:26:56Z
id_95,Never married,43,Black,$25000 or more,Strong democrat,None,3,2000-05-14T23:38:38Z
id_96,Married,56,White,Less than 10000,Not str democrat,None,1,2000-03-27T10:09:51Z
id_97,Separated,32,Other,Less than 10000,Strong republican,Protestant,4,2000-10-31T01:09:31Z
id_98,Never married,28,Black,Less than 10000,Not str republican,Catholic,6,2000-02-21T23:37:26Z
id_99,Divorced,48,Black,$10000 - 14999,Strong democrat,Protestant,4,2000-07-07T13:40:21Z
id_100,Widowed,77,Black,Less than 10000,Strong democrat,Catholic,2,2000-07-23T22:32:58Z
id_101,Separated,30,White,$25000 or more,Strong democrat,None,1,2000-08-25T07:47:18Z
id_102,Never married,53,White,$25000 or more,Not str democrat,Protestant,3,2000-05-19T13:00:27Z
id_103,Married,53,White,$10000 - 14999,Not str republican,Protestant,1,2000-07-15T13:27:44Z
id_104,Married,78,White,Less than 10000,Not str republican,Protestant,5,2001-01-02T01:35:01Z
id_105,Married,41,White,$25000 or more,Not str democrat,None,5,2000-07-13T11:18:00Z
id_106,Married,30,White,Less than 10000,Strong republican,Protestant,11,2000-12-09T14:19:18Z
id_107,Married,31,White,Less than 10000,Not str democrat,None,2,2000-12-18T09:54:38Z
id_108,Married,32,Other,$25000 or more,Not str republican,Catholic,2,2000-08-28T12:36:49Z
id_109,Separated,45,White,$25000 or more,Strong democrat,Protestant,1,2000-06-17T00:59:04Z
id_110,Never married,21,White,$20000 - 24999,Not str democrat,Catholic,3,2000-03-12T13:33:55Z
id_111,Married,46,White,$25000 or more,Not str democrat,Catholic,4,2000-12-26T01:09:32Z
id_112,Widowed,82,White,Less than 10000,Strong democrat,Protestant,4,2000-05-07T23:28:48Z
id_113,Divorced,66,White,Less than 10000,Independent,Protestant,8,2000-02-09T22:51:18Z
id_114,Married,36,Other,$25000 or more,Strong republican,Other,1,2000-12-30T14:19:08Z
id_115,Separated,49,White,$25000 or more,Strong democrat,Other,1,2000-10-08T11:12:11Z
id_116,Married,72,White,$25000 or more,Strong democrat,None,2,2000-03-10T19:23:55Z
id_117,Married,53,White,Less than 10000,Independent,Protestant,2,2000-08-06T18:24:07Z
id_118,Widowed,79,White,Less than 10000,Strong republican,Protestant,1,2001-01-01T22:13:22Z
id_119,Married,50,White,Less than 10000,Strong republican,Catholic,1,2000-08-20T00:22:16Z
id_120,Widowed,50,Other,Less than 10000,Not str democrat,Protestant,4,2000-06-14T18:42:13Z
id_121,Married,35,Other,Less than 10000,Not str democrat,Other,11,2000-09-11T20:34:54Z
id_122,Married,54,Other,$15000 - 19999,Not str democrat,Catholic,1,2000-05-14T18:47:23Z
id_123,Widowed,65,White,Less than 10000,Strong democrat,Catholic,0,2000-05-10T08:29:53Z
id_124,Married,54,White,Less than 10000,Strong republican,Protestant,3,2000-04-08T03:55:27Z
id_125,Divorced,62,White,Less than 10000,Strong democrat,Protestant,3,2000-06-01T23:04:32Z
id_126,Married,85,White,Less than 10000,Not str republican,None,2,2001-01-12T22:52:01Z
id_127,Divorced,67,White,Less than 10000,Strong republican,Protestant,1,2000-03-15T03:59:54Z
id_128,Married,48,White,$10000 - 14999,Strong republican,Protestant,1,2000-02-21T01:12:57Z
id_129,Widowed,72,White,Less than 10000,Not str democrat,Protestant,3,2000-03-10T15:59:45Z
id_130,Separated,45,White,Less than 10000,Not str democrat,None,8,2000-09-27T06:30:28Z
id_131,Married,47,White,$25000 or more,Independent,Catholic,3,2000-09-01T09:02:04Z
id_132,Never married,37,White,Less than 10000,Not str democrat,Catholic,1,2000-12-09T23:29:29Z
id_133,Never married,29,White,$25000 or more,Independent,Protestant,2,2000-09-21T01:06:34Z
id_134,Never married,26,Other,$10000 - 14999,Not str democrat,None,2,2000-10-14T11:58:35Z
id_135,Never married,24,White,$25000 or more,Independent,None,2,2000-07-27T11:08:30Z
id_136,Widowed,60,Black,Less than 10000,Strong democrat,Protestant,4,2000-09-16T05:30:23Z
id_137,Divorced,61,Black,Less than 10000,Strong democrat,Protestant,3,2000-11-14T12:13:28Z
id_138,Widowed,59,Black,Less than 10000,Strong democrat,Protestant,6,2000-11-01T12:10:57Z
