marital,age,race,rincome,partyid,relig,tvhours,partyid2
Married,35,Black,$20000 - 24999,Strong democrat,Other,3,Democrat
Widowed,18,White,$20000 - 24999,Independent,Protestant,4,Independent
Widowed,14,Other,$10000 - 14999,Not str republican,Catholic,0,Republican
Married,14,Black,Less than 10000,Strong democrat,None,0,Democrat
Never married,33,Black,$25000 or more,Not str republican,Protestant,2,Republican
Separated,17,White,$15000 - 19999,Strong republican,Other,1,Republican
Widowed,95,Other,$25000 or more,Strong republican,Other,9,Republican
Divorced,42,White,$20000 - 24999,Not str democrat,None,5,Democrat
Widowed,17,White,$15000 - 19999,Independent,Protestant,2,Independent
Divorced,12,White,$20000 - 24999,Not str democrat,Other,0,Democrat
Divorced,37,Other,$25000 or more,Not str republican,Catholic,3,Republican
Married,14,Other,$10000 - 14999,Strong democrat,Protestant,2,Democrat
Separated,24,Other,$10000 - 14999,Strong republican,Other,1,Republican
Separated,32,Black,Less than 10000,Strong republican,None,3,Republican
Married,39,Black,$10000 - 14999,Strong democrat,None,3,Democrat
Never married,18,White,$15000 - 19999,Not str republican,None,1,Republican
Never married,20,Other,$10000 - 14999,Strong democrat,Catholic,2,Democrat
Married,28,Other,$15000 - 19999,Strong democrat,None,2,Democrat
Divorced,17,Other,$15000 - 19999,Strong republican,Protestant,1,Republican
Separated,17,White,$25000 or more,Not str democrat,None,1,Democrat
Widowed,30,Other,$25000 or more,Strong republican,Protestant,2,Republican
Married,19,White,$25000 or more,Not str republican,Catholic,2,Republican
Married,32,White,$25000 or more,Not str democrat,Protestant,6,Democrat
Widowed,21,Black,$15000 - 19999,Not str democrat,Other,2,Democrat
Widowed,14,Other,$25000 or more,Not str republican,Protestant,0,Republican
Never married,54,Other,$10000 - 14999,Not str republican,Protestant,7,Republican
Widowed,24,White,Less than 10000,Not str republican,Catholic,2,Republican
Divorced,75,Black,$20000 - 24999,Not str democrat,Catholic,8,Democrat
Divorced,77,Black,$20000 - 24999,Strong democrat,None,9,Democrat
Married,18,White,$25000 or more,Strong republican,Other,1,Republican
Never married,57,White,$25000 or more,Not str democrat,Catholic,6,Democrat
Widowed,14,Other,$20000 - 24999,Not str democrat,Catholic,1,Democrat
